# Removed from repo usage. This file is no longer used by the app. Keep external if needed for data regeneration.
53,1. Winterthurer Singjahr,35000,0 (0),0 (0),0,,
55,Zwölf der Elf – Eine Winterthurer Weihnachtsgeschichte,1500,0 (0),0 (0),0,,
58,Gerngeschehen,18000,0 (0),0 (0),0,,
60,Offspace ZZZ,29910,0 (0),0 (0),0,,
61,The Golden Ratio,5000,0 (0),0 (0),0,,
63,"Giorgio Bassani, la memoria di un mondo sepolto.",3000,0 (0),0 (0),0,,
65,Musica Antigua Saison 2025/2026,9000,0 (0),0 (0),0,,
71,Johann Wolfgang von Goethe im Gespräch mit Friedrich Imhoof-Blumer,12500,0 (0),0 (0),0,,
74,Metamorphosis – Die Verwandlung,20000,0 (0),0 (0),0,,
75,Filmmusikkonzerte des Sinfonierorchester La Passione,7900,0 (0),0 (0),0,,
79,Album *Forest of Stories*,10000,0 (0),0 (0),0,,
82,The Britisch Isles,3000,0 (0),0 (0),0,,
83,Love Episodes,10000,0 (0),0 (0),0,,
90,Liebe mich trotz allem,40000,0 (0),0 (0),0,,
92,The most poetical topic,7000,0 (0),0 (0),0,,
93,SonntagsKonzerte in Winterthur,13000,0 (0),0 (0),0,,
94,Pop-up Galerie (an ungenutzen Orten),12000,0 (0),0 (0),0,,
97,We are Winterthur,25000,0 (0),0 (0),0,,
98,Der Möchtegern-Sprachkurs Wolof,13700,0 (0),0 (0),0,,
106,Cardinal Complex – Konzertsaison 2025/26,12000,0 (0),0 (0),0,,
108,"Konzerttour ""Peace Dove"" 2025",15140,0 (0),0 (0),0,,
TOTAL,,378901,204 (8),578 (254),782,,
